change_id,num_change,ccfinder,cloneworks_type1,cloneworks_type2blind,cloneworks_type3pattern,cloneworks_type3token,conqat,deckard,duplo,iclones,nicad5,simcad,simian
43,27,0,0,0,0,1,0,0.185185185,0,0,0,0,0
44,27,0,0,0,0,1,0,0.185185185,0,0,0,0,0
45,27,0,0,0,0,1,0,0,0,0,0,0,0
46,27,0,0,0,0,1,0,0,0,0,0,0,0
47,27,0,0,0,0,1,0,0,0,0,0,0,0
48,27,0,0,0,0,1,0,0,0,0,0,0,0
49,6,0,0,0,0,1,0,0.333333333,0,0,0,0,0
50,6,0,0,0,0,1,0,0.333333333,0,0,0,0,0
51,6,0,0,0,0,1,0,0.333333333,0,0,0,0,0
52,6,0,0,0,0,1,0,0.333333333,0,0,0,0,0
53,6,0,0,0,0,1,0,0.333333333,0,0,0,0,0
54,6,0,0,0,0,1,0,0,0,0,0,0,0
55,6,0,0,0,0,1,0,0,0,0,0,0,0
56,6,0,0,0,0,1,0,0,0,0,0,0,0
57,6,0,0,0,0,1,0,0,0,0,0,0,0
58,11,0,0,0,0,0.545454545,0,0.454545455,0,0,0,0,0
59,11,0,0,0,0,0.545454545,0,0.454545455,0,0,0,0,0
60,11,0,0,0,0,0.545454545,0,0.454545455,0,0,0,0,0
61,11,0,0,0,0,0.545454545,0,0.454545455,0,0,0,0,0
62,11,0,0,0,0,0.545454545,0,0.454545455,0,0,0,0,0
63,11,0,0,0,0,0.545454545,0,0.454545455,0,0,0,0,0
64,11,0,0,0,0,0.545454545,0,0.454545455,0,0,0,0,0
65,11,0,0,0,0,0.545454545,0,0.454545455,0,0,0,0,0
66,11,0,0,0,0,0.545454545,0,0.454545455,0,0,0,0,0
67,11,0,0,0,0,0.545454545,0,0.454545455,0,0,0,0,0
68,6,0,0,0,0,1,0,0,0,0,0,0,0
69,6,0,0,0,0,1,0,0,0,0,0,0,0
70,6,0,0,0,0,1,0,0,0,0,0,0,0
71,7,0,0,0,0,0.857142857,0,0.142857143,0,0,0,0,0
72,7,0,0,0,0,0.857142857,0,0.142857143,0,0,0,0,0
73,6,0,0,0,0,1,0,0,0,0,0,0,0
74,6,0,0,0,0,1,0,0,0,0,0,0,0
75,6,0,0,0,0,1,0,0,0,0,0,0,0
78,2,0,0,0,0,0,0,1,0,0,0,0,0
79,4,0,1,1,1,1,0,0,0,0,0,0,0
80,4,0,1,1,1,1,0,0,0,0,0,0,0
81,4,0,0,0,0,0,0,1,0,0,0,0,0
82,7,0,0.571428571,0.571428571,0.571428571,0.571428571,0,0.714285714,0,0.285714286,0,0.285714286,0
83,7,0,0.571428571,0.571428571,0.571428571,0.571428571,0,0.714285714,0,0.285714286,0,0.285714286,0
84,4,0,0,0,0,0,0,1,0,0,0,0,0
85,5,0,0.8,0.8,0.8,0.8,0,0.6,0,0.4,0,0.4,0
86,5,0,0.8,0.8,0.8,0.8,0,0.6,0,0.4,0,0.4,0
87,2,0,0,0,0,0,0,1,0,0,0,0,0
88,2,0,0,0,0,0,0,1,0,0,0,0,0
92,1,0,0,0,1,1,0,0,0,0,0,1,0
93,1,0,0,0,1,1,0,0,0,0,0,1,0
94,2,0,0,0,0,0,0,1,0,0,0,0,0
125,4,0,0,0,0,0,0,1,0,0,0,0,0
126,4,0,0,0,0,0,0,1,0,0,0,0,0
127,4,0,0,0,0,0,0,1,0,0,0,0,0
128,6,0,0,0.166666667,0.166666667,0.166666667,0,1,0,0,0,0.166666667,0
129,4,0,0,0.25,0.25,0.25,0,1,0,0,0,0.25,0
130,4,0,0,0,0,0,0,1,0,0,0,0,0
131,4,0,0,0,0,0,0,1,0,0,0,0,0
132,4,0,0,0,0,0,0,1,0,0,0,0,0
134,3,0,0,0,0,0,0,1,0,0,0,0,0
137,1,0,0,0,0,0,0,1,0,0,0,0,0
139,1,0,0,0,0,0,0,0,0,1,0,0,0
140,1,0,0,0,0,0,0,1,0,0,0,0,0
141,1,0,0,0,0,0,0,1,0,0,0,0,0
142,1,0,0,0,0,0,0,1,0,0,0,0,0
143,2,0,0,0,0,0,0,1,0,0,0,0,0
145,1,0,0,0,0,0,0,0,0,0,0,0,1
148,1,0,0,0,0,0,0,0,0,0,0,0,1
153,3,0,0,0,0,0,0,1,0,0,0,0,0
154,3,0,0,0,0,0,0,1,0,0,0,0,0
155,1,0,0,0,0,0,0,0,0,1,0,0,0
159,7,0,0,0,0.428571429,0.428571429,0,1,0,0.428571429,0,0.428571429,0.285714286
160,4,0,0,0,0.75,0.75,0,1,0,0.75,0,0.75,0.5
161,6,0,0,0,0.5,0.5,0,1,0,0.5,0,0.5,0.333333333
162,6,0,0,0,0.5,0.5,0,1,0,0.5,0,0.5,0.333333333
163,5,0.6,0,0,0.8,0.8,0,0.8,0,0,0,0,0
164,4,0.5,0,0,1,1,0,1,0,0,0,0,0
